Date,Time,Year,Month,Week,Day name,Latitude,Longitude,Type,Depth,Depth error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status
25.01.1967,1:50:20,1967,1,4,Wednesday,36.715,71.625,Earthquake,273.2,0,0,6,MW,0,0,0,0,0,0,ISCGEM840114,ISCGEM,ISCGEM,ISCGEM,Automatic
28.01.1967,13:53:00,1967,1,4,Saturday,52.45,-169.603,Earthquake,35,0,0,6.8,MW,0,0,0,0,0,0,ISCGEM840198,ISCGEM,ISCGEM,ISCGEM,Automatic
28.01.1967,16:31:23,1967,1,4,Saturday,52.288,-169.353,Earthquake,35,0,0,5.6,MW,0,0,0,0,0,0,ISCGEM840211,ISCGEM,ISCGEM,ISCGEM,Automatic
28.01.1967,17:42:02,1967,1,4,Saturday,52.242,-169.468,Earthquake,39.9,0,0,5.8,MW,0,0,0,0,0,0,ISCGEM840218,ISCGEM,ISCGEM,ISCGEM,Automatic
30.01.1967,21:05:30,1967,1,5,Monday,26.107,96.115,Earthquake,25,0,0,5.6,MW,0,0,0,0,0,0,ISCGEM840292,ISCGEM,ISCGEM,ISCGEM,Automatic
31.01.1967,13:37:32,1967,1,5,Tuesday,2.619,-84.363,Earthquake,10,0,0,5.6,MW,0,0,0,0,0,0,ISCGEM840310,ISCGEM,ISCGEM,ISCGEM,Automatic
02.02.1967,6:25:49,1967,2,5,Thursday,-57.94,-25.663,Earthquake,65,0,0,6.1,MW,0,0,0,0,0,0,ISCGEM838453,ISCGEM,ISCGEM,ISCGEM,Automatic
03.02.1967,12:48:09,1967,2,5,Friday,-5.542,110.478,Earthquake,550,0,0,5.6,MW,0,0,0,0,0,0,ISCGEM838491,ISCGEM,ISCGEM,ISCGEM,Automatic
07.02.1967,14:53:14,1967,2,6,Tuesday,56.521,-157.326,Earthquake,62,0,0,5.7,MW,0,0,0,0,0,0,ISCGEM838578,ISCGEM,ISCGEM,ISCGEM,Automatic
09.02.1967,15:24:49,1967,2,6,Thursday,2.849,-74.798,Earthquake,55,0,0,7,MW,0,0,0,0,0,0,ISCGEM838623,ISCGEM,ISCGEM,ISCGEM,Automatic
13.02.1967,23:14:24,1967,2,7,Monday,52.812,-34.14,Earthquake,10,0,0,7,MW,0,0,0,0,0,0,ISCGEM838773,ISCGEM,ISCGEM,ISCGEM,Automatic
14.02.1967,1:36:08,1967,2,7,Tuesday,13.555,96.463,Earthquake,30,0,0,6.8,MW,0,0,0,0,0,0,ISCGEM838776,ISCGEM,ISCGEM,ISCGEM,Automatic
14.02.1967,5:02:39,1967,2,7,Tuesday,-13.303,171.408,Earthquake,630,0,0,5.8,MW,0,0,0,0,0,0,ISCGEM838782,ISCGEM,ISCGEM,ISCGEM,Automatic
15.02.1967,16:11:12,1967,2,7,Wednesday,-9.163,-71.274,Earthquake,600.4,0,0,7,MW,0,0,0,0,0,0,ISCGEM838830,ISCGEM,ISCGEM,ISCGEM,Automatic
17.02.1967,10:10:52,1967,2,7,Friday,-23.878,-175.078,Earthquake,15,0,0,6.5,MW,0,0,0,0,0,0,ISCGEM838876,ISCGEM,ISCGEM,ISCGEM,Automatic
18.02.1967,2:39:20,1967,2,7,Saturday,-5.873,153.267,Earthquake,35,0,0,5.6,MW,0,0,0,0,0,0,ISCGEM838898,ISCGEM,ISCGEM,ISCGEM,Automatic
